"INSEE";"DEPT";"NUMCANTON"
"02679";"02";"22"
"02680";"02";"14"
"02681";"02";"27"
"02682";"02";"04"
"02683";"02";"37"
"02684";"02";"17"
"02685";"02";"14"
"02686";"02";"11"
"02687";"02";"35"
"02688";"02";"27"
"02689";"02";"19"
"02690";"02";"30"
"02691";"02";"28"
"02691";"02";"39"
"02691";"02";"40"
"02691";"02";"98"
"02693";"02";"24"
"02694";"02";"29"
"02695";"02";"04"
"02696";"02";"12"
"02697";"02";"38"
"02698";"02";"32"
"02699";"02";"15"
"02701";"02";"07"
"02702";"02";"33"
"02703";"02";"03"
"02704";"02";"11"
"02705";"02";"30"
"02706";"02";"41"
"02707";"02";"11"
"02708";"02";"06"
"02709";"02";"03"
"02710";"02";"29"
"02711";"02";"04"
"02712";"02";"15"
"02713";"02";"15"
"02714";"02";"04"
"02715";"02";"04"
"02716";"02";"14"
"02717";"02";"25"
"02718";"02";"22"
"02719";"02";"09"
"02720";"02";"30"
"02721";"02";"25"
"02722";"02";"31"
"02722";"02";"41"
"02722";"02";"99"
"02723";"02";"26"
"02724";"02";"22"
"02725";"02";"05"
"02726";"02";"29"
"02727";"02";"19"
"02728";"02";"05"
"02729";"02";"36"
"02730";"02";"32"
"02731";"02";"27"
"02732";"02";"25"
"02733";"02";"01"
"02734";"02";"36"
"02735";"02";"04"
"02736";"02";"35"
"02737";"02";"19"
"02738";"02";"42"
"02739";"02";"32"
"02740";"02";"34"
"02741";"02";"25"
"02742";"02";"19"
"02743";"02";"26"
"02744";"02";"22"
"02745";"02";"19"
"02746";"02";"14"
"02747";"02";"33"
"02748";"02";"10"
"02749";"02";"22"
"02750";"02";"11"
"02751";"02";"12"
"02752";"02";"29"
"02753";"02";"37"
"02754";"02";"09"
"02755";"02";"01"
"02756";"02";"20"
"02757";"02";"16"
"02758";"02";"32"
"02759";"02";"34"
"02760";"02";"37"
"02761";"02";"21"
"02762";"02";"11"
"02763";"02";"04"
"02764";"02";"12"
"02765";"02";"01"
"02766";"02";"32"
"02767";"02";"31"
"02768";"02";"01"
"02769";"02";"37"
"02770";"02";"41"
"02771";"02";"04"
"02772";"02";"33"
"02773";"02";"04"
"02774";"02";"33"
"02775";"02";"20"
"02776";"02";"06"
"02777";"02";"07"
"02778";"02";"12"
"02779";"02";"37"
"02780";"02";"31"
"02781";"02";"08"
"02782";"02";"33"
"02783";"02";"37"
"02784";"02";"37"
"02785";"02";"33"
"02786";"02";"11"
"02787";"02";"13"
"02788";"02";"14"
"02789";"02";"34"
"02790";"02";"19"
"02791";"02";"38"
"02792";"02";"22"
"02793";"02";"35"
"02794";"02";"15"
"02795";"02";"35"
"02796";"02";"22"
"02797";"02";"04"
"02798";"02";"07"
"02799";"02";"24"
"02800";"02";"10"
"02801";"02";"26"
"02802";"02";"26"
"02803";"02";"21"
"02804";"02";"24"
"02805";"02";"31"
"02806";"02";"15"
"02807";"02";"09"
"02808";"02";"06"
"02809";"02";"15"
"02810";"02";"36"
"02811";"02";"04"
"02812";"02";"36"
"02813";"02";"25"
"02814";"02";"16"
"02815";"02";"29"
"02816";"02";"15"
"02817";"02";"04"
"02818";"02";"07"
"02819";"02";"26"
"02820";"02";"09"
"02821";"02";"18"
"02822";"02";"36"
"02823";"02";"27"
"02824";"02";"38"
"02826";"02";"34"
"02827";"02";"19"
"02828";"02";"32"
"02829";"02";"32"
"02830";"02";"37"
"02831";"02";"17"
"02832";"02";"27"
"02833";"02";"17"
"02834";"02";"01"
"03001";"03";"35"
"03002";"03";"27"
"03003";"03";"02"
"03004";"03";"15"
"03005";"03";"13"
"03006";"03";"15"
"03007";"03";"17"
"03008";"03";"18"
"03009";"03";"24"
"03010";"03";"12"
"03011";"03";"33"
"03012";"03";"27"
"03013";"03";"24"
